priority_rank,firm,owner_age,partner_tenure_years,service_mix,niche_vertical,next_gen,employees,office_count,managing_partner,growth_signal,verified,notes
11,"Semple, Marchal & Cooper, LLP",,,Tax / Audit / Advisory,Construction / Manufacturing / Healthcare / Agriculture,,35,,,,2026-06-18/Claude,"audit, accounting, tax, mgmt consulting; tech/construction/mfg/transportation/agriculture/healthcare; ~35 staff [src: semplecpa.com; cbinsights]"
12,Meyers Brothers Kalicka,,,Tax / Audit / Advisory / Wealth Mgmt,Healthcare / Construction / Nonprofit / Real Estate / Cannabis,,~50,,,,2026-06-18/Claude,"largest independent CPA in W. Mass; ~50 staff, 6 partners; healthcare/construction/nonprofit/RE/mfg/cannabis; benefit-plan audits, biz valuation [src: mbkcpa.com]"
13,"Hacker, Johnson & Smith PA",,,Tax / Audit / Advisory,Banking / Financial Institutions,,,5,,,2026-06-18/Claude,DEDICATED bank/financial-institution audit specialist since 1974; PCAOB public-co audits; ERISA; offices Tampa/Brandon/Ft Lauderdale/Orlando/Miami [src: hackerjohnson.com]
18,"Jones, Nale & Mattingly",,,Tax / Audit / Advisory,Financial Institutions / Construction / Long-Term Care / Government,,,,,,2026-06-18/Claude,"audit & assurance, tax advisory, peer review; financial institutions/construction/mfg/long-term care/nonprofit/govt; est 1924 [src: jnmcpa.com]"
15,"Henderson & Neuberg, LLC",,,Tax / CAS / Advisory / Wealth Mgmt,Trusts & Estates,,,,,,2026-06-18/Claude,"estate & trust admin, retirement/generational wealth planning; sole owner Peter Neuberg (PFS), 30+ yrs; no audit [src: hendersonneuberg.com]"
16,John J. Heck & Associates,,,Tax / Advisory,,,,,,,2026-06-18/Claude,"tax prep/planning, estate tax, business tax, bankruptcy & litigation support, tax resolution; est 1980 [src: johnheckcpa.com]"
19,"Richardson & Company, LLP",,,Tax / Audit / Advisory,Government / Banking / Nonprofit / Affordable Housing,,,,,,2026-06-18/Claude,"audit/tax/advisory to govt, 30+ banks, nonprofit & HUD affordable housing; single-audit specialist; est 1991 [src: richardsoncpas.com]"
20,"Rich, Wightman & Company, CPAs, LLC",,,Tax / Audit / CAS / Advisory,,,,,,,2026-06-18/Claude,"tax, certified audits, bookkeeping, advisory incl M&A/fraud/estate; since 1982; ~$5.2M rev [src: richwightman.com]"
21,Layton Layton & Tobler LLP,,,Tax / Audit / CAS / Advisory,Construction / Healthcare / Real Estate / Nonprofit / Hospitality,,,2,,,2026-06-18/Claude,"biz accounting, audit, tax; construction/healthcare/RE/trucking/nonprofit/EBP/HOA/hospitality; est 1971; 2 offices [src: lltcpa.com]"
23,"Regier and Juresic, LLC",,,Tax / CAS / Advisory / Outsourced CFO,,,,,,,2026-06-18/Claude,"tax, accounting, forensic accounting, part-time CFO, small biz, cryptocurrency accounting [src: rj-cpa.com]"
24,"Shelton CPAs, LLP",,,Tax / Audit / CAS / Advisory / Wealth Mgmt,Agriculture / Construction / Healthcare / Dental,,,,,,2026-06-18/Claude,"audit/assurance, payroll, tax, forensics, biz valuation, litigation, estate, financial planning; ag/construction/medicine & dentistry; largest local in BG [src: sheltoncpas.com]"
25,Williams & Company LLC,,,Tax / Audit / CAS / Advisory,,,,,,,2026-06-18/Claude,"tax, accounting, audit review, business valuations, strategic planning, litigation support, personal financial planning [src: waccpas.com]"
26,Hungeling-Grace CPAs,,,Tax / CAS / Advisory,Real Estate,,13,,,,2026-06-18/Claude,"tax, payroll, cash flow, QuickBooks, estate & trust admin; small biz incl real estate investors & nonprofits; ~13 staff, ~$4M; est 1984 [src: hungelingcpa.com]"
27,"Rekdal Hopkins Howard, PS",,,Tax / Audit / Advisory,Real Estate / Professional Services / Retail,,,2,,,2026-06-18/Claude,"tax, business assurance, financial consulting; retail dealer services, professional service firms, real estate, HNW individuals; Bellevue & Kirkland [src: rh2cpas.com]"
28,"Koch Siedhoff Hand & Dunn, LLP",,,Tax / Audit / CAS / Advisory,Manufacturing / Construction / Oil & Gas / Healthcare,,,,,,2026-06-18/Claude,"accounting, audit, tax, consulting; R&D tax credits, cost segregation, litigation support; mfg/wholesale/oil&gas/medical/construction; est 1981 [src: kshd.com]"
29,"Gitlin & Company, LLC",,,Tax / Audit / CAS / Advisory,Healthcare / Automotive / Restaurants,,,2,,,2026-06-18/Claude,"compilation/review/audit, tax, estate planning, consulting; physicians/manufacturers/retailers/restaurants/auto dealers; W. Hartford CT + Springfield MA [src: gc-cpas.com]"
31,"Taylor, Polson & Company CPAs, PSC",,,Tax / Audit / CAS / Advisory,Nonprofit / Religious,,,,,,2026-06-18/Claude,"accounting, tax, audits, payroll, bookkeeping, consulting; nonprofits incl churches/ministries; crypto; 60+ yr legacy [src: taylorpolson.com]"
32,"Randy Walker & Company, P.C.",,,Tax / Audit / CAS / Advisory,Nonprofit,,,,,,2026-06-18/Claude,"among largest nonprofit-serving CPAs in San Antonio (150+ nonprofits, 70+ audits); also small biz & HNW; est 1995 [src: randywalkercpa.com]"
33,Hildreth & Associates CPA,,,Tax / CAS / Advisory / Outsourced CFO,Technology / Trusts & Estates / Healthcare,,,,,,2026-06-18/Claude,"tax, bookkeeping, audit, outsourced CFO; technology/software, estate & trust/family office, medical & dental, law, construction, mfg [src: hildrethcpa.com]"
34,"Mike Dodd, CPA",,,Tax / Advisory / Wealth Mgmt,Entertainment / Music,,,,,,2026-06-18/Claude,"Music Row Nashville; tax prep/planning, personal financial planning, IRS audit rep; music/entertainment & individuals [src: mikedoddcpa.com]"
35,Regier & Associates,,,Tax / Advisory / Wealth Mgmt,Equine / Real Estate / Entertainment,,,,,,2026-06-18/Claude,"tax, business advisory, wealth mgmt, family business (site lists OKC HQ — verify Tulsa office) [src: regiercpas.com]"
36,"Bilodeau Wells & Company, P.C.",,,Tax / Audit / Advisory,Manufacturing / Construction / Technology / Healthcare,,>20,,,,2026-06-18/Claude,"accounting, business valuations, audit, multi-state tax, estate planning; mfg/wholesale/retail/construction/extractive/software/medical-dental; est 1984 [src: bwc-cpas.com]"
37,"McCall Scanlon & Tice, LLC",,,Tax / Audit / CAS / Advisory / Wealth Mgmt,,,,3,,,2026-06-18/Claude,"audit, accounting, tax, business valuation, retirement & succession planning, wealth mgmt, bookkeeping; Pittsburgh/Kittanning/Washington PA; est 2008 [src: mstcpas.com]"
38,Vann Whipple Milligan PC,,,Tax / Audit / Advisory,Construction / Real Estate / Hospitality / Nonprofit,,,,,,2026-06-18/Claude,"tax, assurance/audit/review/compilation, advisory; construction & RE dev, hospitality, nonprofits, wholesale/retail, technology, professional services [src: vwmcpa.com]"
39,"Cuomo, Winters & Schmidt, CPAs, PLLC",,,Tax / Audit / CAS / Advisory,Healthcare / Dental / Construction / Nonprofit,,,,,,2026-06-18/Claude,"tax, accounting, audit, business valuation, nonprofit & pension auditing; medical/dental, contractors, nonprofits; est 2015 (ex-Sirchia & Cuomo) [src: cpacws.com]"
40,Hafer Certified Public Accountants and Consultants,,,Tax / Audit / Advisory,Community Associations / HOA,,,4,,,2026-06-18/Claude,"SPECIALIST in community associations (condos/co-ops/HOAs), property mgmt & developers; audits/reviews/compilations, tax; Palm Beach/Naples/Miami/Orlando; est 1979 [src: hafercpas.com]"
41,Clarus Partners,,,Sales/Use Tax / Advisory,,,,,,,2026-06-18/Claude,"INDIRECT TAX (sales & use tax) specialist — not a general CPA; exemption certs, business license, unclaimed property; est 2007 [src: claruspartners.com]"
42,"Radwan, Brown & Company, PSC",,,Tax / CAS / Advisory / Wealth Mgmt,Equine / Real Estate / Entertainment,,,,,,2026-06-18/Claude,"one of largest in Lexington; equine, entertainment, RE development; estate/gift/succession; tech consulting; est 1988 [src: radwanbrown.com]"
43,Gardiner + Company CPAs,,,Tax / Audit / CAS / Advisory,Agribusiness / Cooperatives / Credit Unions / Government,,41,,,,2026-06-18/Claude,"specialist in co-ops/agribusiness/grain audits, credit unions, municipalities; est 1964; ~41 staff; IA/SD/NE offices [src: gardinercpa.com]"
44,Maginnis Knechtel & McIntyre LLP,,,Tax / Audit / Advisory,Government / Nonprofit / Charter Schools / Real Estate / Manufacturing,,,,,,2026-06-18/Claude,"audit/review/compilation incl nonprofits & EBP; DoD/Peace Corps/oil&gas/financial institutions/charter schools/RE/mfg; M&A, biz valuation [src: m-k-m.com]"
45,Miller & Company LLP,,,Tax / Audit / CAS / Advisory,Healthcare / Legal / Real Estate / Financial Services,,,6,,,2026-06-18/Claude,"tax, accounting, audits/reviews, forensic, real estate accounting; medical/dental/attorneys/financial/HNW; est 1997; multi-office [src: cpafirmnyc.com]"
46,"Fiorita, Kornhaas & Company, P.C.",,,Tax / Audit / CAS / Advisory / Wealth Mgmt,Trusts & Estates,,,2,,,2026-06-18/Claude,"diversified; tax, estate/probate/trust accounting, audit/review/compilation, M&A, litigation; BDO alliance; est 1973; Danbury+Southbury [src: fkc.cpa]"
47,"Capossela, Cohen, LLC",,,Tax / Audit / CAS / Advisory,Construction / Manufacturing / Nonprofit / Real Estate / Restaurants,,,,,,2026-06-18/Claude,accounting/audit/assurance/advisory/tax; construction/mfg/nonprofit/prof services/RE/restaurants; est 1948 [src: capossela.com]
48,"Jay E. Kauffman, CPA",,,Tax / CAS / Advisory / Outsourced CFO,Hospitality,,,,,,2026-06-18/Claude,"tax, accounting, part-time CFO, bookkeeping, crypto; hospitality specialty; small/mid biz & individuals [src: jekcpa.com]"
49,Grow Rasmussen LLP,,,Tax / Audit / CAS / Advisory,Real Estate / Professional Services / Retail,,,,,,2026-06-18/Claude,"tax, accounting, bookkeeping/payroll, attest/audit, financial consulting; retail/wholesale/prof services/RE; est 1976 [src: growrasmussen.com]"
50,"Brown, Smith & Settle, LLC",,,Tax / Audit / CAS / Advisory,Oil & Gas / Construction,,25,,,,2026-06-18/Claude,"oil & gas taxation specialist 30+ yrs (independent producers/drillers/investors); audit, tax, biz valuation, M&A; ~25 staff [src: bsscpa.com]"
51,Daniel Dennis & Company LLP,,,Tax / Audit / Advisory,Nonprofit / Affordable Housing / Charter Schools,,,,,,2026-06-18/Claude,DEDICATED nonprofit/affordable housing/charter school/EBP audit specialist; UFR & Uniform Guidance single audits; est 1981; 8 partners [src: danieldennis.com]
52,"Plemmons-Jackson & Cabaniss, PLLC",,,Tax / CAS / Advisory,,,,,,,2026-06-18/Claude,"business accounting, payroll, tax, bookkeeping; small biz & individuals; no clear niche [src: plemmonsjacksoncabaniss.com]"
53,Nelson & Nelson CPAs LLP,,,Tax / CAS / Advisory / Wealth Mgmt,Nonprofit,,,,,,2026-06-18/Claude,"bookkeeping, payroll, tax, retirement/estate & trust, nonprofit services; SD's oldest firm, est 1923 [src: nelsoncpas.com]"
54,"Mueller & Partin, Inc.",,,Forensic / Business Valuation / Advisory,Litigation Support,,,,,,2026-06-18/Claude,"forensic accounting & forensic economics specialist; business valuation, damage claims, expert witness; not traditional tax/audit; est 1984 [src: muellerpartin.com]"
